Datetime,Open,High,Low,Close,Volume
2023-08-07 10:00:00-03:00,119509.3515625,120103.9296875,119013.4375,119257.7734375,0
2023-08-07 11:00:00-03:00,119316.390625,119483.859375,118982.84375,119088.8671875,0
2023-08-07 12:00:00-03:00,119047.953125,119285.640625,118893.8984375,119210.0625,0
2023-08-07 13:00:00-03:00,119198.03125,119381.3828125,119142.0078125,119359.359375,0
2023-08-07 14:00:00-03:00,119352.546875,119571.7578125,119177.8203125,119571.7578125,0
2023-08-07 15:00:00-03:00,119574.84375,119677.0390625,119394.3125,119463.84375,0
2023-08-07 16:00:00-03:00,119480.5703125,119504.9375,119318.0,119329.7578125,0
2023-08-08 10:00:00-03:00,119378.140625,119378.203125,117491.953125,118090.296875,0
2023-08-08 11:00:00-03:00,118145.4296875,118826.8671875,118047.7421875,118498.0703125,0
2023-08-08 12:00:00-03:00,118462.640625,119147.75,118449.578125,119092.359375,0
2023-08-08 13:00:00-03:00,119101.34375,119169.78125,118902.4765625,118983.15625,0
2023-08-08 14:00:00-03:00,119011.046875,119552.6875,118993.0390625,119434.1015625,0
2023-08-08 15:00:00-03:00,119458.203125,119458.203125,119020.5390625,119218.15625,0
2023-08-08 16:00:00-03:00,119237.1171875,119282.5703125,118983.6015625,119068.6484375,0
2023-08-09 10:00:00-03:00,119089.609375,119089.609375,118103.15625,118689.78125,0
2023-08-09 11:00:00-03:00,118728.65625,118768.46875,118226.75,118226.75,0
2023-08-09 12:00:00-03:00,118250.3125,118363.6328125,117901.0390625,118016.953125,0
2023-08-09 13:00:00-03:00,118045.140625,118248.6328125,117933.9375,118144.6484375,0
2023-08-09 14:00:00-03:00,118161.1328125,118330.5625,118133.28125,118233.8828125,0
2023-08-09 15:00:00-03:00,118245.1171875,118381.8828125,118171.4375,118213.75,0
2023-08-09 16:00:00-03:00,118177.2734375,118327.7578125,118137.8515625,118297.9375,0
2023-08-10 10:00:00-03:00,118412.1875,119408.9921875,118407.9765625,119408.9921875,0
2023-08-10 11:00:00-03:00,119419.109375,119438.1484375,118744.0078125,118949.2890625,0
2023-08-10 12:00:00-03:00,118953.453125,118953.453125,118630.9375,118921.453125,0
2023-08-10 13:00:00-03:00,118919.078125,118919.078125,118504.2734375,118715.96875,0
2023-08-10 14:00:00-03:00,118740.890625,118774.1015625,118468.328125,118509.2734375,0
2023-08-10 15:00:00-03:00,118483.359375,118721.296875,118483.359375,118680.546875,0
2023-08-10 16:00:00-03:00,118678.65625,118678.65625,118112.6796875,118279.3515625,0
2023-08-11 10:00:00-03:00,118349.6015625,119053.921875,118278.8828125,118614.9375,0
2023-08-11 11:00:00-03:00,118703.9296875,119041.328125,118593.203125,118679.59375,0
2023-08-11 12:00:00-03:00,118667.796875,118828.1796875,118392.9375,118514.6796875,0
