Datetime,Open,High,Low,Close,Volume
2026-04-15 10:00:00-03:00,198657.328125,198658.984375,198255.59375,198255.59375,0
2026-04-15 10:05:00-03:00,198213.71875,198533.8125,198126.703125,198126.703125,0
2026-04-15 10:10:00-03:00,198241.703125,198288.875,198114.296875,198288.875,0
2026-04-15 10:15:00-03:00,198301.78125,198606.84375,198252.0625,198348.953125,0
2026-04-15 10:20:00-03:00,198314.046875,198629.234375,198314.046875,198629.234375,0
2026-04-15 10:25:00-03:00,198615.15625,198971.203125,198567.59375,198971.203125,0
2026-04-15 10:30:00-03:00,199049.28125,199232.453125,198931.953125,199047.5625,0
2026-04-15 10:35:00-03:00,199062.328125,199063.875,198791.3125,198982.140625,0
2026-04-15 10:40:00-03:00,198777.625,198777.625,198467.09375,198507.734375,0
2026-04-15 10:45:00-03:00,198360.09375,198476.59375,198360.09375,198458.140625,0
2026-04-15 10:50:00-03:00,198306.5625,198306.5625,198157.453125,198230.265625,0
2026-04-15 10:55:00-03:00,198183.9375,198497.6875,198080.96875,198383.984375,0
2026-04-15 11:00:00-03:00,198465.140625,198508.9375,198351.09375,198351.09375,0
2026-04-15 11:05:00-03:00,198309.8125,198390.890625,198258.296875,198258.296875,0
2026-04-15 11:10:00-03:00,198233.890625,198291.546875,198219.625,198219.625,0
2026-04-15 11:15:00-03:00,198240.703125,198240.703125,197541.953125,197649.734375,0
2026-04-15 11:20:00-03:00,197663.515625,197766.8125,197571.3125,197709.375,0
2026-04-15 11:25:00-03:00,197721.75,197750.59375,197559.125,197581.984375,0
2026-04-15 11:30:00-03:00,197593.578125,197593.578125,197402.71875,197508.578125,0
2026-04-15 11:35:00-03:00,197521.65625,197748.484375,197521.65625,197545.703125,0
2026-04-15 11:40:00-03:00,197533.375,197734.78125,197533.375,197641.625,0
2026-04-15 11:45:00-03:00,197618.0,197720.453125,197594.171875,197720.453125,0
2026-04-15 11:50:00-03:00,197709.796875,197742.46875,197637.15625,197640.21875,0
2026-04-15 11:55:00-03:00,197642.953125,197700.53125,197635.78125,197660.640625,0
2026-04-15 12:00:00-03:00,197630.90625,197630.90625,197474.546875,197507.40625,0
2026-04-15 12:05:00-03:00,197519.78125,197640.421875,197463.59375,197640.421875,0
2026-04-15 12:10:00-03:00,197642.515625,197872.984375,197642.515625,197794.53125,0
2026-04-15 12:15:00-03:00,197802.3125,197832.484375,197776.015625,197798.8125,0
2026-04-15 12:20:00-03:00,197767.90625,197823.90625,197761.9375,197808.15625,0
2026-04-15 12:25:00-03:00,197805.90625,197865.84375,197663.5,197663.5,0
2026-04-15 12:30:00-03:00,197667.921875,197716.53125,197513.25,197540.8125,0
2026-04-15 12:35:00-03:00,197516.734375,197516.734375,197447.453125,197447.453125,0
2026-04-15 12:40:00-03:00,197481.9375,197520.28125,197406.40625,197461.375,0
2026-04-15 12:45:00-03:00,197479.609375,197550.84375,197327.9375,197389.265625,0
2026-04-15 12:50:00-03:00,197385.453125,197429.0625,197370.984375,197422.59375,0
2026-04-15 12:55:00-03:00,197358.703125,197376.703125,197320.796875,197376.703125,0
2026-04-15 13:00:00-03:00,197359.453125,197528.125,197335.953125,197342.125,0
2026-04-15 13:05:00-03:00,197330.90625,197411.28125,197330.90625,197392.75,0
2026-04-15 13:10:00-03:00,197434.984375,197434.984375,197360.953125,197396.578125,0
2026-04-15 13:15:00-03:00,197424.59375,197438.4375,197383.65625,197415.203125,0
2026-04-15 13:20:00-03:00,197429.5,197500.1875,197417.328125,197489.421875,0
2026-04-15 13:25:00-03:00,197480.6875,197488.015625,197421.671875,197427.671875,0
2026-04-15 13:30:00-03:00,197441.6875,197471.421875,197386.609375,197393.671875,0
2026-04-15 13:35:00-03:00,197407.125,197407.125,197320.25,197320.25,0
2026-04-15 13:40:00-03:00,197267.84375,197267.84375,197000.46875,197096.328125,0
2026-04-15 13:45:00-03:00,197110.6875,197147.203125,197033.125,197147.203125,0
2026-04-15 13:50:00-03:00,197109.203125,197185.046875,196966.15625,197071.03125,0
2026-04-15 13:55:00-03:00,197049.8125,197140.71875,197037.1875,197133.859375,0
2026-04-15 14:00:00-03:00,197156.484375,197250.953125,197156.484375,197189.734375,0
2026-04-15 14:05:00-03:00,197179.9375,197270.5625,197166.453125,197270.5625,0
2026-04-15 14:10:00-03:00,197246.71875,197264.40625,197131.609375,197190.34375,0
2026-04-15 14:15:00-03:00,197212.28125,197272.421875,197191.9375,197245.375,0
2026-04-15 14:20:00-03:00,197225.515625,197255.625,197193.546875,197255.625,0
2026-04-15 14:25:00-03:00,197363.4375,197363.4375,197320.625,197334.703125,0
2026-04-15 14:30:00-03:00,197297.390625,197297.390625,197216.953125,197244.453125,0
2026-04-15 14:35:00-03:00,197259.984375,197271.296875,197170.1875,197254.15625,0
2026-04-15 14:40:00-03:00,197247.59375,197311.671875,197201.734375,197307.703125,0
2026-04-15 14:45:00-03:00,197323.703125,197336.59375,197102.1875,197177.8125,0
2026-04-15 14:50:00-03:00,197239.125,197298.90625,197195.5,197298.90625,0
2026-04-15 14:55:00-03:00,197321.34375,197421.640625,197321.34375,197397.65625,0
2026-04-15 15:00:00-03:00,197374.953125,197394.65625,197234.46875,197350.203125,0
2026-04-15 15:05:00-03:00,197336.703125,197631.9375,197336.703125,197616.375,0
2026-04-15 15:10:00-03:00,197628.703125,197753.734375,197583.0,197718.515625,0
2026-04-15 15:15:00-03:00,197589.796875,197602.90625,197508.984375,197568.4375,0
2026-04-15 15:20:00-03:00,197581.734375,197641.9375,197564.546875,197624.484375,0
2026-04-15 15:25:00-03:00,197637.515625,197686.765625,197622.140625,197686.765625,0
2026-04-15 15:30:00-03:00,197679.4375,197729.453125,197654.453125,197729.453125,0
2026-04-15 15:35:00-03:00,197751.84375,197876.265625,197751.84375,197864.953125,0
2026-04-15 15:40:00-03:00,197838.015625,197943.578125,197798.515625,197943.578125,0
2026-04-15 15:45:00-03:00,197948.65625,197978.78125,197873.984375,197879.9375,0
